Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
32019,2431,2933,,,पूर्वे कर्तरि ।,पूर्वे ७/१ कर्तरि ७/१
32020,1138,2934,,,कृञो हेतुताच्छील्यानुलोम्येषु ।,कृञः ५/१ हेतुताच्छील्यानुलोम्येषु ७/३
32021,1869,2935,,,दिवाविभानिशाप्रभाभास्करान्तानन्तादिबहुनान्दीकिम्लिपिलिबिबलिभक्तिकर्तृचित्रक्षेत्रसंख्याजङ्घाबाह्वहर्यत्तत्धनुररुष्षु ।,दिवा-विभा-निशा-प्रभा-भास्करान्तानन्तादि-बहुनान्दीकिम्-लिपि-लिबि-बलि-भक्ति-कर्तृ-चित्र-क्षेत्र-संख्याजङ्घा-बाह्वहर्यत्-तत्-धनुररुष्षु ७/३
32022,1014,2936,,,कर्मणि भृतौ ।,कर्मणि ७/१ भृतौ ७/१
32023,2071,2937,,,न शब्दश्लोककलहगाथावैरचाटुसूत्रमन्त्रपदेषु ।,न ०/० शब्द-श्लोक-कलह-गाथा-वैर-चाटु-सूत्र-मन्त्र-पदेषु ७/३
32024,3804,2938,,,स्तम्बशकृतोरिन् ।,स्तम्बशकृतोः ७/२ इन् १/१
32025,3906,2939,,,हरतेर्दृतिनाथयोः पशौ ।,हरतेः ५/१ दृतिनाथयोः ७/२ पशौ ७/१
32026,2572,2940,,,फलेग्रहिरात्मम्भरिश्च ।,फलेग्रहिः १/१ आत्मम्भरिः १/१ च ०/०
32027,1453,3408,,,छन्दसि वनसनरक्षिमथाम् ।,छन्दसि ७/१ वनसनरक्षिमथाम् ६/३
32028,906,2941,,,एजेः खश् ।,एजेः ५/१ खश् १/१
32029,2163,2944,,,नासिकास्तनयोर्ध्माधेटोः ।,नासिकास्तनयोः ७/२ ध्माधेटोः ६/२
32030,2144,2945,,,नाडीमुष्ट्योश्च ।,नाडीमुष्ट्योः ७/२ च ०/०
32031,737,2946,,,उदि कूले रुजिवहोः ।,उदि ७/१ कूले ७/१ रुजिवहोः ६/२
32032,3098,2947,,,वहाभ्रे लिहः ।,वहाभ्रे ७/१ लिहः ५/१
32033,2317,2948,,,परिमाणे पचः ।,परिमाणे ७/१ पचः ५/१
32034,2777,2949,,,मितनखे च ।,मितनखे ७/१ च ०/०
32035,3170,2950,,,विध्वरुषोः तुदः ।,विध्वरुषोः ७/२ तुदः ५/१
32036,433,2951,,,असूर्यललाटयोर्दृशितपोः ।,असूर्यललाटयोः ७/२ दृशितपोः ६/२
32037,699,2952,,,उग्रम्पश्येरम्मदपाणिन्धमाश्च ।,उग्रम्पश्येरम्मदपाणिन्धमाः १/३ च ०/०
32038,2550,2953,,,प्रियवशे वदः खच् ।,प्रियवशे ७/१ वदः ५/१ खच् १/१
32039,1970,2954,,,द्विषत्परयोस्तापेः ।,द्विषत्परयोः ७/२ तापेः ५/१
32040,3138,2956,,,वाचि यमो व्रते ।,वाचि ७/१ यमः ५/१ व्रते ७/१
